State,Total Literacy Rate,Male Literacy Rate,Female Literacy Rate
Male,Female,Total,Male
74.04,82.14,65.46,77.7
86.63,90.27,82.43,86.27
67.02,74.88,59.15,67.40
65.38,72.55,57.70,66.95
72.19,77.85,66.27,85.9
61.80,71.20,51.50,69.70
70.28,80.27,60.24,77.3
86.05,89.99,81.19,86.43
76.34,85.17,64.32,77.65
87.10,91.54,79.55,87.07
-,-,-,-
86.21,90.94,80.76,88.70
88.70,92.65,84.66,87.4
78.03,85.75,69.68,82.4
75.55,84.06,65.94,80.4
82.80,89.53,75.93,86.6
67.16,76.75,56.43,77.3
66.41,76.84,55.42,74.3
75.36,82.47,68.08,77.2
94.00,96.11,91.07,96.2
91.85,95.56,87.95,92.28
-,-,-,-
69.32,78.73,59.24,73.7
82.34,88.38,75.87,84.8
76.94,83.58,70.26,79.85
74.43,75.95,72.89,75.48
91.33,93.35,89.27,99.01
79.55,82.75,76.11,80.11
72.87,81.59,64.01,77.3
85.85,91.26,80.67,86.55
75.84,80.44,70.73,83.7
66.11,79.19,52.12,69.7
81.42,86.55,75.61,82.2
80.09,86.77,73.44,82.9
-,-,-,72.8
87.22,92.53,82.73,87.75
78.82,87.40,70.01,87.6
67.68,77.28,57.18,73.00
76.36,81.69,70.54,80.50
